line_no,step,epoch,loss,learning_rate,approx_samples_seen
27,1,0.0,5.1934,2e-05,32
32,2,0.01,5.2655,4e-05,64
37,3,0.01,4.3918,6e-05,96
42,4,0.01,3.6016,8e-05,128
47,5,0.02,2.8237,0.0001,160
52,6,0.02,2.3347,0.00012,192
57,7,0.02,2.1055,0.00014,224
62,8,0.03,1.7566,0.00016,256
67,9,0.03,1.6454,0.00018,288
72,10,0.03,1.5405,0.0002,320
77,11,0.04,1.3229,0.00019999458931878073,352
82,12,0.04,1.423,0.0001999783578606323,384
87,13,0.04,1.2992,0.00019995130738201966,416
92,14,0.04,1.2313,0.0001999134408101731,448
97,15,0.05,1.3672,0.00019986476224277165,480
102,16,0.05,1.1961,0.00019980527694749952,512
107,17,0.05,1.2697,0.00019973499136147606,544
112,18,0.06,1.2553,0.0001996539130905593,576
117,19,0.06,1.1626,0.0001995620509085228,608
122,20,0.06,1.234,0.00019945941475610623,640
127,21,0.07,1.2613,0.0001993460157399396,672
132,22,0.07,1.1853,0.0001992218661313415,704
137,23,0.07,1.1608,0.00019908697936499103,736
142,24,0.08,1.2082,0.00019894137003747403,768
147,25,0.08,1.1931,0.00019878505390570362,800
152,26,0.08,1.2029,0.00019861804788521493,832
157,27,0.09,1.1817,0.00019844037004833473,864
162,28,0.09,1.0944,0.00019825203962222572,896
167,29,0.09,1.1169,0.0001980530769868059,928
172,30,0.1,1.2356,0.00019784350367254322,960
177,31,0.1,1.1495,0.0001976233423581255,992
182,32,0.1,1.1131,0.0001973926168680066,1024
187,33,0.11,1.1287,0.00019715135216982798,1056
192,34,0.11,1.1452,0.0001968995743717171,1088
197,35,0.11,1.0954,0.00019663731071946206,1120
202,36,0.12,1.2352,0.00019636458959356316,1152
207,37,0.12,1.1716,0.0001960814405061619,1184
212,38,0.12,1.152,0.00019578789409784727,1216
217,39,0.12,1.1755,0.00019548398213434007,1248
222,40,0.13,1.1879,0.00019516973750305532,1280
227,41,0.13,1.1862,0.00019484519420954354,1312
232,42,0.13,1.2279,0.00019451038737381077,1344
237,43,0.14,1.1208,0.00019416535322651818,1376
242,44,0.14,1.2167,0.00019381012910506146,1408
247,45,0.14,1.1429,0.00019344475344953012,1440
252,46,0.15,1.1526,0.00019306926579854821,1472
257,47,0.15,1.1838,0.00019268370678499533,1504
262,48,0.15,1.1845,0.0001922881181316097,1536
267,49,0.16,1.1934,0.00019188254264647337,1568
272,50,0.16,1.1643,0.0001914670242183795,1600
277,51,0.16,1.0911,0.0001910416078120832,1632
282,52,0.17,1.1304,0.0001906063394634356,1664
287,53,0.17,1.1431,0.00019016126627440237,1696
292,54,0.17,1.2011,0.00018970643640796642,1728
297,55,0.18,1.1055,0.000189241899082916,1760
302,56,0.18,1.2123,0.00018876770456851877,1792
307,57,0.18,1.139,0.0001882839041790818,1824
312,58,0.19,1.0894,0.00018779055026839868,1856
317,59,0.19,1.1672,0.00018728769622408423,1888
322,60,0.19,1.1305,0.00018677539646179707,1920
327,61,0.2,1.1732,0.00018625370641935129,1952
332,62,0.2,1.0944,0.00018572268255071718,1984
337,63,0.2,1.1766,0.00018518238231991218,2016
342,64,0.2,1.1336,0.00018463286419478255,2048
347,65,0.21,1.16,0.00018407418764067627,2080
352,66,0.21,1.1774,0.00018350641311400812,2112
357,67,0.21,1.1784,0.0001829296020557174,2144
362,68,0.22,1.1627,0.00018234381688461942,2176
367,69,0.22,1.113,0.0001817491209906506,2208
372,70,0.22,1.1652,0.00018114557872800905,2240
377,71,0.23,1.2072,0.00018053325540819045,2272
382,72,0.23,1.2222,0.0001799122172929206,2304
387,73,0.23,1.1634,0.00017928253158698473,2336
392,74,0.24,1.1102,0.0001786442664309554,2368
397,75,0.24,1.1918,0.0001779974908938184,2400
402,76,0.24,1.2004,0.0001773422749654988,2432
407,77,0.25,1.1219,0.00017667868954928694,2464
412,78,0.25,1.0738,0.00017600680645416583,2496
417,79,0.25,1.0974,0.00017532669838704035,2528
422,80,0.26,1.2046,0.00017463843894486937,2560
427,81,0.26,1.0888,0.0001739421026067017,2592
432,82,0.26,1.1195,0.00017323776472561627,2624
437,83,0.27,1.1071,0.00017252550152056795,2656
442,84,0.27,1.1942,0.0001718053900681397,2688
447,85,0.27,1.109,0.00017107750829420176,2720
452,86,0.28,1.0395,0.00017034193496547902,2752
457,87,0.28,1.21,0.00016959874968102735,2784
462,88,0.28,1.1029,0.00016884803286362,2816
467,89,0.28,1.096,0.00016808986575104465,2848
472,90,0.29,1.0754,0.00016732433038731242,2880
477,91,0.29,1.1508,0.0001665515096137797,2912
482,92,0.29,1.1314,0.00016577148706018328,2944
487,93,0.3,1.1224,0.00016498434713559088,2976
492,94,0.3,1.0961,0.00016419017501926656,3008
497,95,0.3,1.1167,0.0001633890566514535,3040
502,96,0.31,1.0779,0.00016258107872407375,3072
507,97,0.31,1.1388,0.0001617663286713474,3104
512,98,0.31,1.1717,0.00016094489466033043,3136
517,99,0.32,1.1493,0.00016011686558137448,3168
522,100,0.32,1.0713,0.0001592823310385073,3200
527,101,0.32,1.2073,0.0001584413813397364,3232
532,102,0.33,1.1046,0.00015759410748727662,3264
537,103,0.33,1.0648,0.00015674060116770236,3296
542,104,0.33,1.1855,0.00015588095474202595,3328
547,105,0.34,1.0985,0.00015501526123570277,3360
552,106,0.34,1.1205,0.00015414361432856475,3392
557,107,0.34,1.1804,0.0001532661083446829,3424
562,108,0.35,1.0527,0.00015238283824216015,3456
567,109,0.35,1.0888,0.00015149389960285558,3488
572,110,0.35,1.1323,0.00015059938862204127,3520
577,111,0.36,1.1745,0.00014969940209799248,3552
582,112,0.36,1.1666,0.00014879403742151283,3584
587,113,0.36,1.0576,0.00014788339256539544,3616
592,114,0.36,1.1278,0.0001469675660738206,3648
597,115,0.37,1.0558,0.00014604665705169237,3680
602,116,0.37,1.0875,0.00014512076515391375,3712
607,117,0.37,1.1478,0.00014418999057460276,3744
612,118,0.38,1.1038,0.0001432544340362501,3776
617,119,0.38,1.0737,0.00014231419677881966,3808
622,120,0.38,1.0499,0.00014136938054879283,3840
627,121,0.39,1.1982,0.00014042008758815818,3872
632,122,0.39,1.0973,0.00013946642062334766,3904
637,123,0.39,1.1425,0.00013850848285411994,3936
642,124,0.4,1.1302,0.000137546377942393,3968
647,125,0.4,1.1641,0.00013658021000102636,4000
652,126,0.4,1.1239,0.00013561008358255468,4032
657,127,0.41,1.0853,0.00013463610366787392,4064
662,128,0.41,1.1052,0.00013365837565488064,4096
667,129,0.41,1.0863,0.0001326770053470668,4128
672,130,0.42,1.092,0.0001316920989420703,4160
677,131,0.42,1.131,0.00013070376302018287,4192
682,132,0.42,1.0959,0.00012971210453281674,4224
687,133,0.43,1.0812,0.000128717230790931,4256
692,134,0.43,1.1223,0.00012771924945341906,4288
697,135,0.43,1.1555,0.00012671826851545851,4320
702,136,0.44,1.121,0.0001257143962968246,4352
707,137,0.44,1.1259,0.00012470774143016853,4384
712,138,0.44,1.117,0.00012369841284926188,4416
717,139,0.44,1.1223,0.00012268651977720866,4448
722,140,0.45,1.1361,0.00012167217171462566,4480
727,141,0.45,1.1522,0.0001206554784277931,4512
732,142,0.45,1.131,0.00011963654993677645,4544
737,143,0.46,1.0954,0.00011861549650352069,4576
742,144,0.46,1.0866,0.00011759242861991855,4608
747,145,0.46,1.0986,0.00011656745699585371,4640
752,146,0.47,1.1376,0.00011554069254722051,4672
757,147,0.47,1.0689,0.00011451224638392129,4704
762,148,0.47,1.142,0.00011348222979784289,4736
767,149,0.48,1.0877,0.00011245075425081328,4768
772,150,0.48,1.141,0.00011141793136253986,4800
777,151,0.48,1.2138,0.0001103838728985307,4832
782,152,0.49,1.098,0.000109348690758,4864
787,153,0.49,1.0975,0.00010831249696175918,4896
792,154,0.49,1.0906,0.0001072754036400944,4928
797,155,0.5,1.1007,0.00010623752302063283,4960
802,156,0.5,1.1928,0.00010519896741619803,4992
807,157,0.5,1.1313,0.00010415984921265609,5024
812,158,0.51,1.2058,0.00010312028085675391,5056
817,159,0.51,1.1418,0.00010208037484395114,5088
822,160,0.51,1.0211,0.00010104024370624644,5120
827,161,0.52,1.0681,0.0001,5152
832,162,0.52,1.1222,9.895975629375359e-05,5184
837,163,0.52,1.0468,9.791962515604887e-05,5216
842,164,0.52,1.0655,9.687971914324607e-05,5248
847,165,0.53,1.1103,9.584015078734395e-05,5280
852,166,0.53,1.158,9.480103258380198e-05,5312
857,167,0.53,1.1193,9.376247697936719e-05,5344
862,168,0.54,1.0777,9.272459635990562e-05,5376
867,169,0.54,1.1528,9.168750303824084e-05,5408
872,170,0.54,1.0702,9.065130924199998e-05,5440
877,171,0.55,1.0437,8.961612710146934e-05,5472
882,172,0.55,1.0308,8.858206863746018e-05,5504
887,173,0.55,1.0959,8.754924574918675e-05,5536
892,174,0.56,1.1342,8.651777020215712e-05,5568
897,175,0.56,1.0618,8.548775361607872e-05,5600
902,176,0.56,1.0991,8.445930745277953e-05,5632
907,177,0.57,1.1295,8.343254300414628e-05,5664
912,178,0.57,1.1027,8.240757138008149e-05,5696
917,179,0.57,1.0921,8.138450349647936e-05,5728
922,180,0.58,1.1561,8.036345006322359e-05,5760
927,181,0.58,1.1558,7.934452157220694e-05,5792
932,182,0.58,1.1283,7.832782828537437e-05,5824
937,183,0.59,1.059,7.731348022279134e-05,5856
942,184,0.59,1.048,7.630158715073813e-05,5888
947,185,0.59,1.1322,7.52922585698315e-05,5920
952,186,0.6,1.0959,7.428560370317542e-05,5952
957,187,0.6,1.0957,7.328173148454151e-05,5984
962,188,0.6,1.0556,7.228075054658096e-05,6016
967,189,0.6,1.1276,7.1282769209069e-05,6048
972,190,0.61,1.1029,7.028789546718326e-05,6080
977,191,0.61,1.0691,6.929623697981718e-05,6112
982,192,0.61,1.1821,6.830790105792973e-05,6144
987,193,0.62,1.0859,6.732299465293322e-05,6176
992,194,0.62,1.0752,6.63416243451194e-05,6208
997,195,0.62,1.0717,6.536389633212609e-05,6240
1002,196,0.63,1.1028,6.43899164174453e-05,6272
1007,197,0.63,1.0632,6.341978999897365e-05,6304
1012,198,0.63,1.1084,6.245362205760704e-05,6336
1017,199,0.64,1.1429,6.149151714588009e-05,6368
1022,200,0.64,1.0135,6.053357937665237e-05,6400
1027,201,0.64,1.0615,5.957991241184184e-05,6432
1032,202,0.65,1.1059,5.863061945120719e-05,6464
1037,203,0.65,1.0728,5.768580322118034e-05,6496
