line_no,step,epoch,loss,learning_rate,approx_samples_seen
2,1,0.0008,5.9428,0.0,8
4,2,0.0016,5.8601,0.0,16
6,3,0.0024,5.8044,0.0,24
8,4,0.0032,5.9378,0.0,32
10,5,0.004,6.3267,0.0,40
12,6,0.0048,5.9194,0.0,48
14,7,0.0056,6.2021,0.0,56
16,8,0.0064,5.1378,0.0,64
18,9,0.0072,5.3885,0.0,72
20,10,0.008,5.1145,0.0,80
22,11,0.0088,4.3855,0.0,88
24,12,0.0096,4.4308,0.0,96
26,13,0.0104,4.2469,0.0,104
28,14,0.0112,3.9254,0.0,112
30,15,0.012,3.3152,0.0,120
32,16,0.0128,3.6248,0.0,128
34,17,0.0136,2.9096,0.0,136
36,18,0.0144,2.9409,0.0,144
38,19,0.0152,2.9274,0.0,152
40,20,0.016,2.5143,0.0,160
42,21,0.0168,2.4743,0.0,168
44,22,0.0176,2.4381,0.0,176
46,23,0.0184,2.241,0.0,184
48,24,0.0192,2.0975,0.0,192
50,25,0.02,2.3374,0.0,200
52,26,0.0208,1.9192,0.0,208
54,27,0.0216,2.0403,0.0,216
56,28,0.0224,2.029,0.0,224
58,29,0.0232,1.9232,0.0,232
60,30,0.024,1.7889,0.0,240
62,31,0.0248,1.7088,0.0,248
64,32,0.0256,1.7932,0.0,256
66,33,0.0264,1.8271,0.0,264
68,34,0.0272,1.7386,0.0,272
70,35,0.028,1.5309,0.0,280
72,36,0.0288,1.555,0.0,288
74,37,0.0296,1.3736,0.0,296
76,38,0.0304,1.6142,0.0,304
78,39,0.0312,1.5235,0.0,312
80,40,0.032,1.7117,0.0,320
82,41,0.0328,1.2881,0.0,328
84,42,0.0336,1.2252,0.0,336
86,43,0.0344,1.2888,0.0,344
88,44,0.0352,1.327,0.0,352
90,45,0.036,1.4706,0.0,360
92,46,0.0368,1.3046,0.0,368
94,47,0.0376,1.1986,0.0,376
96,48,0.0384,1.4848,0.0,384
98,49,0.0392,1.4154,0.0,392
100,50,0.04,1.1238,0.0,400
102,51,0.0408,1.2487,0.0,408
104,52,0.0416,1.3925,0.0,416
106,53,0.0424,1.2807,0.0,424
108,54,0.0432,1.2511,0.0,432
110,55,0.044,1.4642,0.0,440
112,56,0.0448,1.1957,0.0,448
114,57,0.0456,1.1868,0.0,456
116,58,0.0464,1.3422,0.0,464
118,59,0.0472,1.4526,0.0,472
120,60,0.048,1.4981,0.0,480
122,61,0.0488,1.3158,0.0,488
124,62,0.0496,1.2566,0.0,496
126,63,0.0504,1.188,0.0,504
128,64,0.0512,1.3217,0.0,512
130,65,0.052,1.3589,0.0,520
132,66,0.0528,1.1847,0.0,528
134,67,0.0536,1.3544,0.0,536
136,68,0.0544,1.3255,0.0,544
138,69,0.0552,1.2151,0.0,552
140,70,0.056,1.3874,0.0,560
142,71,0.0568,1.291,0.0,568
144,72,0.0576,1.3672,0.0,576
146,73,0.0584,1.1597,0.0,584
148,74,0.0592,1.482,0.0,592
